ticker,ticker_yf,mercado,janela,fonte
ITUB4,ITUB4.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
BBDC4,BBDC4.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
BBDC3,BBDC3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
BBAS3,BBAS3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
SANB11,SANB11.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
BPAC11,BPAC11.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
PETR4,PETR4.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
PETR3,PETR3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
PRIO3,PRIO3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
CSAN3,CSAN3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
UGPA3,UGPA3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
VALE3,VALE3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
GGBR4,GGBR4.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
CSNA3,CSNA3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
ELET3,ELET3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
ELET6,ELET6.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
CPFE3,CPFE3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
SBSP3,SBSP3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
CPLE6,CPLE6.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
ENGI11,ENGI11.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
ABEV3,ABEV3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
LREN3,LREN3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
MGLU3,MGLU3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
VVAR3,VVAR3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
ASAI3,ASAI3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
PCAR3,PCAR3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
RDOR3,RDOR3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
HAPV3,HAPV3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
FLRY3,FLRY3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
WEGE3,WEGE3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
EMBR3,EMBR3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
TOTS3,TOTS3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
INTB3,INTB3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
RENT3,RENT3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
MOVI3,MOVI3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
RAIL3,RAIL3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
EZTC3,EZTC3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
CYRE3,CYRE3.SA,B3,10:00-16:59,Yahoo Finance (yfinance) - dados podem ter atraso
